,,DELAY_YES,DELAY_NO,TOTAL,DELAY_TO_NO_DELAY_RATIO,DELAY_PROB,DelayScore
VPS,4,61.0,485.0,546.0,0.12577319587628866,0.11172161172161173,2
XNA,4,149.0,854.0,1003.0,0.17447306791569087,0.1485543369890329,3
YUM,4,4.0,114.0,118.0,0.03508771929824561,0.03389830508474576,1
ABE,5,68.0,221.0,289.0,0.3076923076923077,0.23529411764705882,5
ABI,5,20.0,154.0,174.0,0.12987012987012986,0.11494252873563218,2
ABQ,5,324.0,1346.0,1670.0,0.24071322436849926,0.19401197604790418,4
ABR,5,5.0,56.0,61.0,0.08928571428571429,0.08196721311475409,2
ABY,5,9.0,74.0,83.0,0.12162162162162163,0.10843373493975904,2
ACK,5,4.0,32.0,36.0,0.125,0.1111111111111111,2
ACT,5,16.0,122.0,138.0,0.13114754098360656,0.11594202898550725,2
ACV,5,21.0,68.0,89.0,0.3088235294117647,0.23595505617977527,5
ACY,5,23.0,70.0,93.0,0.32857142857142857,0.24731182795698925,5
AEX,5,32.0,264.0,296.0,0.12121212121212122,0.10810810810810811,2
AGS,5,101.0,306.0,407.0,0.3300653594771242,0.24815724815724816,5
ALB,5,164.0,689.0,853.0,0.23802612481857766,0.19226260257913247,4
ALO,5,9.0,47.0,56.0,0.19148936170212766,0.16071428571428573,3
AMA,5,52.0,304.0,356.0,0.17105263157894737,0.14606741573033707,3
ANC,5,121.0,635.0,756.0,0.19055118110236222,0.16005291005291006,3
APN,5,3.0,26.0,29.0,0.11538461538461539,0.10344827586206896,2
ASE,5,18.0,162.0,180.0,0.1111111111111111,0.1,2
ATL,5,2075.0,8793.0,10868.0,0.2359831684294325,0.19092749355907251,4
ATW,5,76.0,310.0,386.0,0.24516129032258063,0.19689119170984457,4
AUS,5,675.0,3262.0,3937.0,0.20692826486817903,0.1714503429006858,3
AVL,5,99.0,414.0,513.0,0.2391304347826087,0.19298245614035087,4
AVP,5,76.0,236.0,312.0,0.3220338983050847,0.24358974358974358,5
AZA,5,5.0,8.0,13.0,0.625,0.38461538461538464,5
AZO,5,47.0,163.0,210.0,0.2883435582822086,0.22380952380952382,5
BDL,5,365.0,1279.0,1644.0,0.28537920250195464,0.22201946472019465,5
BFF,5,7.0,45.0,52.0,0.15555555555555556,0.1346153846153846,2
BFL,5,26.0,179.0,205.0,0.1452513966480447,0.12682926829268293,2
BGM,5,10.0,76.0,86.0,0.13157894736842105,0.11627906976744186,2
BGR,5,43.0,241.0,284.0,0.17842323651452283,0.15140845070422534,3
BHM,5,274.0,1051.0,1325.0,0.26070409134157946,0.20679245283018868,4
BIL,5,26.0,202.0,228.0,0.12871287128712872,0.11403508771929824,2
BIS,5,37.0,254.0,291.0,0.14566929133858267,0.12714776632302405,2
BJI,5,2.0,57.0,59.0,0.03508771929824561,0.03389830508474576,2
BLI,5,16.0,155.0,171.0,0.1032258064516129,0.0935672514619883,2
BLV,5,1.0,12.0,13.0,0.08333333333333333,0.07692307692307693,2
BMI,5,37.0,211.0,248.0,0.17535545023696683,0.14919354838709678,3
BNA,5,899.0,3401.0,4300.0,0.26433401940605705,0.20906976744186045,4
BOI,5,182.0,1037.0,1219.0,0.1755062680810029,0.14930270713699753,3
BOS,5,1705.0,6640.0,8345.0,0.2567771084337349,0.2043139604553625,4
BPT,5,9.0,51.0,60.0,0.17647058823529413,0.15,3
BQK,5,11.0,71.0,82.0,0.15492957746478872,0.13414634146341464,2
BQN,5,32.0,89.0,121.0,0.3595505617977528,0.2644628099173554,5
BRD,5,3.0,50.0,53.0,0.06,0.05660377358490566,2
BRO,5,21.0,187.0,208.0,0.11229946524064172,0.10096153846153846,2
BTR,5,106.0,542.0,648.0,0.19557195571955718,0.16358024691358025,3
BTV,5,151.0,574.0,725.0,0.26306620209059234,0.2082758620689655,4
BUF,5,390.0,1485.0,1875.0,0.26262626262626265,0.208,4
BUR,5,275.0,855.0,1130.0,0.3216374269005848,0.24336283185840707,5
BWI,5,983.0,3326.0,4309.0,0.29555021046301866,0.2281271756788118,5
BZN,5,28.0,207.0,235.0,0.13526570048309178,0.11914893617021277,2
CAE,5,109.0,544.0,653.0,0.20036764705882354,0.1669218989280245,3
CAK,5,156.0,426.0,582.0,0.36619718309859156,0.26804123711340205,5
CGI,5,5.0,21.0,26.0,0.23809523809523808,0.19230769230769232,4
CHA,5,142.0,528.0,670.0,0.2689393939393939,0.21194029850746268,4
CHO,5,118.0,343.0,461.0,0.34402332361516036,0.2559652928416486,5
CHS,5,334.0,1477.0,1811.0,0.22613405551794177,0.18442849254555493,4
CID,5,138.0,598.0,736.0,0.23076923076923078,0.1875,4
CIU,5,12.0,45.0,57.0,0.26666666666666666,0.21052631578947367,4
CKB,5,12.0,43.0,55.0,0.27906976744186046,0.21818181818181817,5
CLE,5,584.0,2682.0,3266.0,0.21774794929157346,0.17881200244947948,3
CLL,5,27.0,153.0,180.0,0.17647058823529413,0.15,3
CLT,5,1024.0,5012.0,6036.0,0.20430965682362331,0.16964877402253148,3
CMH,5,606.0,2505.0,3111.0,0.24191616766467067,0.19479267116682739,4
CMI,5,35.0,156.0,191.0,0.22435897435897437,0.18324607329842932,4
CMX,5,13.0,44.0,57.0,0.29545454545454547,0.22807017543859648,5
CNY,5,8.0,43.0,51.0,0.18604651162790697,0.1568627450980392,3
COD,5,14.0,47.0,61.0,0.2978723404255319,0.22950819672131148,5
COS,5,192.0,564.0,756.0,0.3404255319148936,0.25396825396825395,5
COU,5,53.0,169.0,222.0,0.3136094674556213,0.23873873873873874,5
CPR,5,,1.0,,,,5
CRP,5,76.0,381.0,457.0,0.1994750656167979,0.16630196936542668,3
CRW,5,84.0,311.0,395.0,0.27009646302250806,0.21265822784810126,4
CSG,5,11.0,102.0,113.0,0.10784313725490197,0.09734513274336283,2
CVG,5,641.0,2674.0,3315.0,0.23971578160059837,0.1933634992458522,4
CWA,5,38.0,250.0,288.0,0.152,0.13194444444444445,2
DAB,5,52.0,250.0,302.0,0.208,0.17218543046357615,3
DAL,5,710.0,2097.0,2807.0,0.3385789222699094,0.25293908086925543,5
DAY,5,236.0,880.0,1116.0,0.2681818181818182,0.2114695340501792,4
DBQ,5,14.0,46.0,60.0,0.30434782608695654,0.23333333333333334,5
DCA,5,1173.0,4292.0,5465.0,0.2732991612301957,0.21463860933211346,4
DEN,5,1611.0,7007.0,8618.0,0.2299129441986585,0.1869343235089348,4
DFW,5,1293.0,6928.0,8221.0,0.1866339491916859,0.15728013623646758,3
DHN,5,25.0,91.0,116.0,0.27472527472527475,0.21551724137931033,5
DLH,5,47.0,174.0,221.0,0.27011494252873564,0.21266968325791855,4
DRO,5,33.0,216.0,249.0,0.1527777777777778,0.13253012048192772,2
DSM,5,261.0,952.0,1213.0,0.27415966386554624,0.21516900247320692,5
DTW,5,957.0,5143.0,6100.0,0.1860781644954307,0.15688524590163935,3
EAU,5,16.0,43.0,59.0,0.37209302325581395,0.2711864406779661,5
ECP,5,35.0,244.0,279.0,0.14344262295081966,0.12544802867383512,2
EGE,5,4.0,29.0,33.0,0.13793103448275862,0.12121212121212122,2
ELP,5,232.0,998.0,1230.0,0.23246492985971945,0.1886178861788618,4
ERI,5,10.0,78.0,88.0,0.1282051282051282,0.11363636363636363,2
ESC,5,4.0,50.0,54.0,0.08,0.07407407407407407,2
EUG,5,52.0,256.0,308.0,0.203125,0.16883116883116883,3
EVV,5,66.0,307.0,373.0,0.21498371335504887,0.1769436997319035,3
EWN,5,71.0,128.0,199.0,0.5546875,0.35678391959798994,5
EWR,5,1921.0,4206.0,6127.0,0.4567284831193533,0.31353027582830095,5
EYW,5,41.0,240.0,281.0,0.17083333333333334,0.14590747330960854,3
FAI,5,26.0,128.0,154.0,0.203125,0.16883116883116883,3
FAR,5,79.0,376.0,455.0,0.21010638297872342,0.17362637362637362,3
FAT,5,135.0,708.0,843.0,0.1906779661016949,0.1601423487544484,3
FAY,5,54.0,285.0,339.0,0.18947368421052632,0.1592920353982301,3
FCA,5,7.0,32.0,39.0,0.21875,0.1794871794871795,3
FLG,5,5.0,116.0,121.0,0.04310344827586207,0.04132231404958678,2
FLL,5,1236.0,3644.0,4880.0,0.3391877058177827,0.2532786885245902,5
FLO,5,,12.0,,,,5
FNT,5,73.0,293.0,366.0,0.24914675767918087,0.1994535519125683,4
FSD,5,85.0,358.0,443.0,0.23743016759776536,0.19187358916478556,4
FSM,5,27.0,142.0,169.0,0.19014084507042253,0.15976331360946747,3
FWA,5,130.0,435.0,565.0,0.2988505747126437,0.23008849557522124,5
GCC,5,11.0,65.0,76.0,0.16923076923076924,0.14473684210526316,3
GCK,5,10.0,50.0,60.0,0.2,0.16666666666666666,3
GEG,5,120.0,643.0,763.0,0.18662519440124417,0.15727391874180865,3
GFK,5,29.0,152.0,181.0,0.19078947368421054,0.16022099447513813,3
GGG,5,5.0,53.0,58.0,0.09433962264150944,0.08620689655172414,2
GJT,5,14.0,172.0,186.0,0.08139534883720931,0.07526881720430108,2
GNV,5,52.0,284.0,336.0,0.18309859154929578,0.15476190476190477,3
GPT,5,49.0,308.0,357.0,0.1590909090909091,0.13725490196078433,2
GRB,5,82.0,330.0,412.0,0.24848484848484848,0.19902912621359223,4
GRI,5,10.0,67.0,77.0,0.14925373134328357,0.12987012987012986,2
GRK,5,27.0,199.0,226.0,0.135678391959799,0.11946902654867257,2
GRR,5,225.0,929.0,1154.0,0.24219590958019377,0.1949740034662045,4
GSO,5,233.0,765.0,998.0,0.3045751633986928,0.23346693386773548,5
GSP,5,223.0,820.0,1043.0,0.27195121951219514,0.21380632790028764,4
GTF,5,11.0,37.0,48.0,0.2972972972972973,0.22916666666666666,5
GTR,5,12.0,76.0,88.0,0.15789473684210525,0.13636363636363635,2
HIB,5,5.0,49.0,54.0,0.10204081632653061,0.09259259259259259,2
HLN,5,7.0,55.0,62.0,0.12727272727272726,0.11290322580645161,2
HNL,5,245.0,1114.0,1359.0,0.2199281867145422,0.18027961736571008,3
HOB,5,5.0,52.0,57.0,0.09615384615384616,0.08771929824561403,2
HOU,5,345.0,1446.0,1791.0,0.23858921161825727,0.19262981574539365,4
HPN,5,135.0,422.0,557.0,0.31990521327014215,0.24236983842010773,5
HRL,5,49.0,205.0,254.0,0.23902439024390243,0.19291338582677164,4
HSV,5,133.0,600.0,733.0,0.22166666666666668,0.18144611186903137,3
HTS,5,3.0,25.0,28.0,0.12,0.10714285714285714,2
HVN,5,16.0,62.0,78.0,0.25806451612903225,0.20512820512820512,4
HYA,5,,2.0,,,,5
HYS,5,11.0,38.0,49.0,0.2894736842105263,0.22448979591836735,5
IAD,5,788.0,2749.0,3537.0,0.2866496907966533,0.22278767316935255,5
IAH,5,863.0,4952.0,5815.0,0.1742730210016155,0.14840928632846087,3
ICT,5,139.0,639.0,778.0,0.21752738654147105,0.17866323907455012,3
IDA,5,16.0,91.0,107.0,0.17582417582417584,0.14953271028037382,3
ILM,5,120.0,489.0,609.0,0.24539877300613497,0.19704433497536947,4
IMT,5,5.0,27.0,32.0,0.18518518518518517,0.15625,3
IND,5,703.0,2829.0,3532.0,0.24849770236832802,0.1990373725934315,4
INL,5,5.0,45.0,50.0,0.1111111111111111,0.1,2
ISN,5,12.0,111.0,123.0,0.10810810810810811,0.0975609756097561,2
ISP,5,80.0,144.0,224.0,0.5555555555555556,0.35714285714285715,5
ITH,5,7.0,80.0,87.0,0.0875,0.08045977011494253,2
ITO,5,,31.0,,,,5
JAC,5,13.0,77.0,90.0,0.16883116883116883,0.14444444444444443,2
JAN,5,90.0,536.0,626.0,0.16791044776119404,0.14376996805111822,2
JAX,5,444.0,1611.0,2055.0,0.2756052141527002,0.21605839416058395,5
JFK,5,1330.0,4315.0,5645.0,0.3082271147161066,0.23560673162090345,5
JLN,5,14.0,46.0,60.0,0.30434782608695654,0.23333333333333334,5
JMS,5,5.0,47.0,52.0,0.10638297872340426,0.09615384615384616,2
JNU,5,14.0,112.0,126.0,0.125,0.1111111111111111,2
KOA,5,70.0,392.0,462.0,0.17857142857142858,0.15151515151515152,3
KTN,5,12.0,98.0,110.0,0.12244897959183673,0.10909090909090909,2
LAN,5,46.0,258.0,304.0,0.17829457364341086,0.1513157894736842,3
LAR,5,14.0,40.0,54.0,0.35,0.25925925925925924,5
LAS,5,1442.0,5916.0,7358.0,0.24374577417173765,0.19597716770861648,4
LAW,5,12.0,106.0,118.0,0.11320754716981132,0.1016949152542373,2
LAX,5,2295.0,8730.0,11025.0,0.26288659793814434,0.20816326530612245,4
LBB,5,52.0,275.0,327.0,0.1890909090909091,0.15902140672782875,3
LBE,5,6.0,23.0,29.0,0.2608695652173913,0.20689655172413793,4
LBF,5,8.0,46.0,54.0,0.17391304347826086,0.14814814814814814,3
LBL,5,3.0,23.0,26.0,0.13043478260869565,0.11538461538461539,2
LCH,5,19.0,155.0,174.0,0.12258064516129032,0.10919540229885058,2
LEX,5,160.0,596.0,756.0,0.2684563758389262,0.21164021164021163,4
LFT,5,46.0,356.0,402.0,0.12921348314606743,0.11442786069651742,2
LGA,5,1308.0,5473.0,6781.0,0.23899141238808697,0.19289190384898983,4
LGB,5,155.0,443.0,598.0,0.34988713318284426,0.2591973244147157,5
LIH,5,63.0,333.0,396.0,0.1891891891891892,0.1590909090909091,3
LIT,5,147.0,870.0,1017.0,0.16896551724137931,0.14454277286135694,3
LNK,5,17.0,91.0,108.0,0.18681318681318682,0.1574074074074074,3
LRD,5,20.0,190.0,210.0,0.10526315789473684,0.09523809523809523,2
LSE,5,28.0,142.0,170.0,0.19718309859154928,0.16470588235294117,3
LWB,5,17.0,20.0,37.0,0.85,0.4594594594594595,5
LYH,5,48.0,73.0,121.0,0.6575342465753424,0.39669421487603307,5
MAF,5,84.0,506.0,590.0,0.16600790513833993,0.1423728813559322,2
MBS,5,53.0,192.0,245.0,0.2760416666666667,0.2163265306122449,5
MCI,5,580.0,3027.0,3607.0,0.19160885365047903,0.16079844746326588,3
MCO,5,1431.0,5111.0,6542.0,0.2799843474858149,0.21874044634668297,5
MDT,5,111.0,383.0,494.0,0.2898172323759791,0.22469635627530365,5
MDW,5,711.0,2648.0,3359.0,0.2685045317220544,0.211670139922596,4
MEI,5,9.0,20.0,29.0,0.45,0.3103448275862069,5
MEM,5,319.0,1452.0,1771.0,0.2196969696969697,0.18012422360248448,3
MFE,5,64.0,279.0,343.0,0.22939068100358423,0.18658892128279883,4
MFR,5,67.0,283.0,350.0,0.23674911660777384,0.19142857142857142,4
MGM,5,71.0,296.0,367.0,0.23986486486486486,0.19346049046321526,4
MHK,5,27.0,118.0,145.0,0.2288135593220339,0.18620689655172415,4
MHT,5,119.0,451.0,570.0,0.2638580931263858,0.20877192982456141,4
MIA,5,1090.0,3703.0,4793.0,0.294355927626249,0.22741498017942832,5
MKE,5,458.0,1775.0,2233.0,0.2580281690140845,0.2051052395879982,4
MKG,5,10.0,47.0,57.0,0.2127659574468085,0.17543859649122806,3
MLB,5,27.0,179.0,206.0,0.15083798882681565,0.13106796116504854,2
MLI,5,92.0,322.0,414.0,0.2857142857142857,0.2222222222222222,5
MLU,5,35.0,221.0,256.0,0.1583710407239819,0.13671875,2
MOB,5,82.0,468.0,550.0,0.1752136752136752,0.14909090909090908,3
MOT,5,24.0,203.0,227.0,0.11822660098522167,0.10572687224669604,2
MQT,5,24.0,95.0,119.0,0.25263157894736843,0.20168067226890757,4
MRY,5,66.0,255.0,321.0,0.25882352941176473,0.205607476635514,4
MSN,5,175.0,874.0,1049.0,0.20022883295194507,0.16682554814108674,3
MSO,5,25.0,97.0,122.0,0.25773195876288657,0.20491803278688525,4
MSP,5,986.0,5091.0,6077.0,0.1936751129444117,0.1622511107454336,3
MSY,5,672.0,2969.0,3641.0,0.22633883462445267,0.18456468003295798,4
MTJ,5,5.0,26.0,31.0,0.19230769230769232,0.16129032258064516,3
MVY,5,,8.0,,,,5
MYR,5,126.0,621.0,747.0,0.2028985507246377,0.1686746987951807,3
OAJ,5,68.0,196.0,264.0,0.3469387755102041,0.25757575757575757,5
OAK,5,408.0,1899.0,2307.0,0.21484992101105846,0.17685305591677503,3
OGD,5,1.0,7.0,8.0,0.14285714285714285,0.125,2
OGG,5,137.0,626.0,763.0,0.21884984025559107,0.17955439056356487,3
OKC,5,319.0,1382.0,1701.0,0.23082489146164978,0.18753674309229865,4
OMA,5,343.0,1547.0,1890.0,0.22171945701357465,0.1814814814814815,3
ONT,5,227.0,823.0,1050.0,0.275820170109356,0.21619047619047618,5
ORD,5,2574.0,8350.0,10924.0,0.30826347305389223,0.23562797510069572,5
ORF,5,360.0,1315.0,1675.0,0.2737642585551331,0.21492537313432836,5
ORH,5,17.0,36.0,53.0,0.4722222222222222,0.32075471698113206,5
OTH,5,15.0,15.0,30.0,1.0,0.5,5
PAH,5,17.0,40.0,57.0,0.425,0.2982456140350877,5
PBI,5,398.0,1332.0,1730.0,0.2987987987987988,0.2300578034682081,5
PDX,5,517.0,2845.0,3362.0,0.18172231985940246,0.15377751338488996,3
PGV,5,37.0,57.0,94.0,0.6491228070175439,0.39361702127659576,5
PHF,5,56.0,170.0,226.0,0.32941176470588235,0.24778761061946902,5
PHL,5,1437.0,3577.0,5014.0,0.4017332960581493,0.2865975269246111,5
PHX,5,1209.0,5490.0,6699.0,0.22021857923497268,0.18047469771607702,3
PIA,5,84.0,349.0,433.0,0.24068767908309455,0.19399538106235567,4
PIB,5,8.0,22.0,30.0,0.36363636363636365,0.26666666666666666,5
PIT,5,713.0,2718.0,3431.0,0.2623252391464312,0.207811133780239,4
PLN,5,5.0,56.0,61.0,0.08928571428571429,0.08196721311475409,2
PNS,5,164.0,699.0,863.0,0.23462088698140202,0.19003476245654694,4
PSC,5,35.0,137.0,172.0,0.25547445255474455,0.20348837209302326,4
PSE,5,17.0,44.0,61.0,0.38636363636363635,0.2786885245901639,5
PSP,5,115.0,569.0,684.0,0.20210896309314588,0.16812865497076024,3
PUB,5,6.0,46.0,52.0,0.13043478260869565,0.11538461538461539,2
PVD,5,309.0,872.0,1181.0,0.3543577981651376,0.26164267569856053,5
PVU,5,4.0,38.0,42.0,0.10526315789473684,0.09523809523809523,2
PWM,5,165.0,598.0,763.0,0.27591973244147155,0.2162516382699869,5
RAP,5,67.0,286.0,353.0,0.23426573426573427,0.18980169971671387,4
RDD,5,16.0,72.0,88.0,0.2222222222222222,0.18181818181818182,4
RDM,5,44.0,234.0,278.0,0.18803418803418803,0.15827338129496402,3
RDU,5,839.0,3185.0,4024.0,0.2634222919937206,0.20849900596421472,4
RFD,5,3.0,16.0,19.0,0.1875,0.15789473684210525,3
RHI,5,2.0,58.0,60.0,0.034482758620689655,0.03333333333333333,1
RIC,5,423.0,1348.0,1771.0,0.3137982195845697,0.2388481084133258,5
RKS,5,6.0,48.0,54.0,0.125,0.1111111111111111,2
RNO,5,273.0,964.0,1237.0,0.28319502074688796,0.22069523039611966,5
ROA,5,29.0,149.0,178.0,0.19463087248322147,0.16292134831460675,3
ROC,5,197.0,813.0,1010.0,0.24231242312423124,0.19504950495049506,4
ROW,5,7.0,107.0,114.0,0.06542056074766354,0.06140350877192982,2
RST,5,54.0,220.0,274.0,0.24545454545454545,0.19708029197080293,4
RSW,5,398.0,1353.0,1751.0,0.29416112342941614,0.22729868646487722,5
SAF,5,15.0,106.0,121.0,0.14150943396226415,0.12396694214876033,2
SAN,5,835.0,3737.0,4572.0,0.22344126304522344,0.1826334208223972,4
SAT,5,401.0,2026.0,2427.0,0.19792694965449162,0.16522455706633704,3
SAV,5,230.0,1037.0,1267.0,0.22179363548698167,0.18153117600631413,3
SBA,5,122.0,458.0,580.0,0.2663755458515284,0.2103448275862069,4
SBN,5,94.0,380.0,474.0,0.24736842105263157,0.19831223628691982,4
SBP,5,102.0,306.0,408.0,0.3333333333333333,0.25,5
SCE,5,8.0,80.0,88.0,0.1,0.09090909090909091,2
SCK,5,18.0,48.0,66.0,0.375,0.2727272727272727,5
SDF,5,343.0,1337.0,1680.0,0.25654450261780104,0.20416666666666666,4
SEA,5,1132.0,5288.0,6420.0,0.2140695915279879,0.1763239875389408,3
SFO,5,2812.0,5906.0,8718.0,0.4761259735861835,0.3225510438173893,5
SGF,5,117.0,564.0,681.0,0.2074468085106383,0.17180616740088106,3
SGU,5,24.0,125.0,149.0,0.192,0.1610738255033557,3
SHD,5,7.0,46.0,53.0,0.15217391304347827,0.1320754716981132,2
SHV,5,68.0,465.0,533.0,0.14623655913978495,0.1275797373358349,2
SIT,5,2.0,18.0,20.0,0.1111111111111111,0.1,2
SJC,5,516.0,2193.0,2709.0,0.23529411764705882,0.19047619047619047,4
SJT,5,14.0,103.0,117.0,0.13592233009708737,0.11965811965811966,2
SJU,5,317.0,943.0,1260.0,0.3361611876988335,0.2515873015873016,5
SLC,5,867.0,3753.0,4620.0,0.23101518784972022,0.18766233766233767,4
SLN,5,7.0,19.0,26.0,0.3684210526315789,0.2692307692307692,5
SMF,5,547.0,2134.0,2681.0,0.2563261480787254,0.20402834763148078,4
SMX,5,4.0,9.0,13.0,0.4444444444444444,0.3076923076923077,5
SNA,5,467.0,2017.0,2484.0,0.2315319781854239,0.18800322061191627,4
SPI,5,29.0,113.0,142.0,0.25663716814159293,0.20422535211267606,4
SPS,5,9.0,75.0,84.0,0.12,0.10714285714285714,2
SRQ,5,84.0,428.0,512.0,0.19626168224299065,0.1640625,3
STC,5,,7.0,,,,5
STL,5,658.0,3111.0,3769.0,0.21150755384120862,0.17458211727248607,3
STS,5,25.0,108.0,133.0,0.23148148148148148,0.18796992481203006,4
STT,5,7.0,47.0,54.0,0.14893617021276595,0.12962962962962962,2
STX,5,,8.0,,,,5
SUX,5,32.0,56.0,88.0,0.5714285714285714,0.36363636363636365,5
SWF,5,16.0,74.0,90.0,0.21621621621621623,0.17777777777777778,3
SWO,5,8.0,53.0,61.0,0.1509433962264151,0.13114754098360656,2
SYR,5,222.0,885.0,1107.0,0.25084745762711863,0.2005420054200542,4
TLH,5,85.0,314.0,399.0,0.27070063694267515,0.21303258145363407,4
TOL,5,33.0,113.0,146.0,0.2920353982300885,0.22602739726027396,5
TPA,5,856.0,3040.0,3896.0,0.28157894736842104,0.21971252566735114,5
TRI,5,54.0,253.0,307.0,0.2134387351778656,0.1758957654723127,3
TTN,5,36.0,105.0,141.0,0.34285714285714286,0.2553191489361702,5
TUL,5,222.0,967.0,1189.0,0.2295760082730093,0.18671152228763668,4
TUS,5,297.0,1164.0,1461.0,0.2551546391752577,0.2032854209445585,4
TVC,5,34.0,203.0,237.0,0.16748768472906403,0.14345991561181434,2
TXK,5,18.0,93.0,111.0,0.1935483870967742,0.16216216216216217,3
TYR,5,13.0,102.0,115.0,0.12745098039215685,0.11304347826086956,2
TYS,5,236.0,980.0,1216.0,0.24081632653061225,0.19407894736842105,4
UIN,5,16.0,31.0,47.0,0.5161290322580645,0.3404255319148936,5
VLD,5,7.0,79.0,86.0,0.08860759493670886,0.08139534883720931,2
VPS,5,99.0,492.0,591.0,0.20121951219512196,0.16751269035532995,3
XNA,5,167.0,881.0,1048.0,0.18955732122587968,0.15935114503816794,3
YUM,5,8.0,112.0,120.0,0.07142857142857142,0.06666666666666667,2
ABE,6,47.0,195.0,242.0,0.24102564102564103,0.19421487603305784,3
ABI,6,24.0,142.0,166.0,0.16901408450704225,0.14457831325301204,2
ABQ,6,378.0,1324.0,1702.0,0.2854984894259819,0.22209165687426558,3
ABR,6,7.0,52.0,59.0,0.1346153846153846,0.11864406779661017,2
ABY,6,24.0,59.0,83.0,0.4067796610169492,0.2891566265060241,5
ACK,6,28.0,141.0,169.0,0.19858156028368795,0.16568047337278108,2
ACT,6,23.0,120.0,143.0,0.19166666666666668,0.16083916083916083,2
ACV,6,23.0,115.0,138.0,0.2,0.16666666666666666,2
ACY,6,32.0,57.0,89.0,0.5614035087719298,0.3595505617977528,5
AEX,6,52.0,233.0,285.0,0.22317596566523606,0.1824561403508772,2
AGS,6,108.0,262.0,370.0,0.4122137404580153,0.2918918918918919,5
ALB,6,164.0,567.0,731.0,0.2892416225749559,0.2243502051983584,3
ALO,6,11.0,37.0,48.0,0.2972972972972973,0.22916666666666666,4
AMA,6,67.0,276.0,343.0,0.2427536231884058,0.19533527696793002,3
ANC,6,197.0,1011.0,1208.0,0.19485657764589515,0.1630794701986755,2
APN,6,,30.0,,,,5
ASE,6,79.0,352.0,431.0,0.22443181818181818,0.18329466357308585,2
ATL,6,2299.0,8380.0,10679.0,0.2743436754176611,0.21528232980616163,3
ATW,6,67.0,266.0,333.0,0.2518796992481203,0.2012012012012012,3
AUS,6,806.0,3145.0,3951.0,0.2562798092209857,0.20399898759807644,3
AVL,6,135.0,422.0,557.0,0.31990521327014215,0.24236983842010773,4
AVP,6,76.0,196.0,272.0,0.3877551020408163,0.27941176470588236,5
AZA,6,6.0,7.0,13.0,0.8571428571428571,0.46153846153846156,5
AZO,6,35.0,194.0,229.0,0.18041237113402062,0.15283842794759825,2
BDL,6,425.0,1186.0,1611.0,0.35834738617200673,0.2638112973308504,5
BFF,6,13.0,35.0,48.0,0.37142857142857144,0.2708333333333333,5
BFL,6,25.0,177.0,202.0,0.14124293785310735,0.12376237623762376,2
BGM,6,13.0,61.0,74.0,0.21311475409836064,0.17567567567567569,2
BGR,6,75.0,298.0,373.0,0.2516778523489933,0.20107238605898123,3
BHM,6,358.0,916.0,1274.0,0.39082969432314413,0.28100470957613816,5
BIL,6,41.0,223.0,264.0,0.18385650224215247,0.1553030303030303,2
BIS,6,69.0,256.0,325.0,0.26953125,0.2123076923076923,3
BJI,6,5.0,53.0,58.0,0.09433962264150944,0.08620689655172414,2
BKG,6,2.0,5.0,7.0,0.4,0.2857142857142857,5
BLI,6,23.0,114.0,137.0,0.20175438596491227,0.1678832116788321,2
BLV,6,5.0,3.0,8.0,1.6666666666666667,0.625,5
BMI,6,64.0,177.0,241.0,0.3615819209039548,0.26556016597510373,5
BNA,6,1014.0,3320.0,4334.0,0.30542168674698794,0.2339640055376096,4
BOI,6,245.0,1033.0,1278.0,0.2371732817037754,0.19170579029733958,3
BOS,6,1947.0,6452.0,8399.0,0.3017668939863608,0.2318133111084653,4
BPT,6,10.0,60.0,70.0,0.16666666666666666,0.14285714285714285,2
BQK,6,14.0,67.0,81.0,0.208955223880597,0.1728395061728395,2
BQN,6,46.0,88.0,134.0,0.5227272727272727,0.34328358208955223,5
BRD,6,4.0,47.0,51.0,0.0851063829787234,0.0784313725490196,2
BRO,6,44.0,178.0,222.0,0.24719101123595505,0.1981981981981982,3
BTR,6,130.0,514.0,644.0,0.2529182879377432,0.20186335403726707,3
BTV,6,190.0,635.0,825.0,0.2992125984251969,0.23030303030303031,4
BUF,6,432.0,1486.0,1918.0,0.29071332436069985,0.22523461939520334,4
BUR,6,209.0,902.0,1111.0,0.23170731707317074,0.18811881188118812,3
BWI,6,997.0,3263.0,4260.0,0.3055470425988354,0.234037558685446,4
BZN,6,99.0,405.0,504.0,0.24444444444444444,0.19642857142857142,3
CAE,6,145.0,409.0,554.0,0.3545232273838631,0.26173285198555957,5
CAK,6,207.0,367.0,574.0,0.5640326975476839,0.3606271777003484,5
CGI,6,4.0,20.0,24.0,0.2,0.16666666666666666,2
CHA,6,190.0,535.0,725.0,0.35514018691588783,0.2620689655172414,5
CHO,6,115.0,314.0,429.0,0.3662420382165605,0.2680652680652681,5
CHS,6,407.0,1429.0,1836.0,0.28481455563331,0.22167755991285404,3
CID,6,167.0,554.0,721.0,0.30144404332129965,0.231622746185853,4
CIU,6,4.0,49.0,53.0,0.08163265306122448,0.07547169811320754,2
CKB,6,17.0,37.0,54.0,0.4594594594594595,0.3148148148148148,5
CLE,6,741.0,2545.0,3286.0,0.2911591355599214,0.22550213024954352,4
CLL,6,35.0,137.0,172.0,0.25547445255474455,0.20348837209302326,3
